Gene	FC	FDR	pct.exp	ID	Class	Direction
38	BDNF	0.532128734238572	4.74013485562e-32	58.2193617591848	CA1_Posterior	CA1	Posterior
39	BRINP1	0.339015083467673	4.27869690948725e-23	82.4081523196568	CA1_Posterior	CA1	Posterior
40	C1orf21	0.35163217500386	3.41901555265293e-19	59.7747385358005	CA1_Posterior	CA1	Posterior
41	CABP1	0.585079245659634	3.51506569336765e-61	80.7991418610888	CA1_Posterior	CA1	Posterior
42	CACHD1	0.344247939104176	3.05569033982229e-22	55.7790292303567	CA1_Posterior	CA1	Posterior
43	CACNB2	0.434391605287257	3.64886045886767e-76	96.5138106731027	CA1_Posterior	CA1	Posterior
44	CACNG3	0.56210556285098	2.78449625787324e-37	84.3925985518906	CA1_Posterior	CA1	Posterior
45	CACNG8	0.388511309075221	9.62071303463132e-29	73.7463126843658	CA1_Posterior	CA1	Posterior
46	CADPS2	1.02768839909483	1.79032101943357e-146	81.7377312952534	CA1_Posterior	CA1	Posterior
47	CALM1	0.327821945765965	3.79844200750493e-19	81.0673102708501	CA1_Posterior	CA1	Posterior
48	CAMK2A	0.416500141894543	2.62060785558665e-51	88.9514615178332	CA1_Posterior	CA1	Posterior
49	CAMK2B	0.458032529597241	2.40429278600717e-53	83.8026280504157	CA1_Posterior	CA1	Posterior
50	CAP2	0.522891503309164	4.06592656019121e-49	72.3250201126307	CA1_Posterior	CA1	Posterior
51	CCBE1	0.533203367361999	1.04031972943404e-63	85.6261732367927	CA1_Posterior	CA1	Posterior
52	CCDC3	-0.375443879584295	1.4173906584507e-26	37.6776615714669	CA1_Anterior	CA1	Anterior
53	CCPG1	-0.308225669838757	1.73002656562756e-13	62.8586752480558	CA1_Anterior	CA1	Anterior
54	CCSER1	0.393838587634736	6.54619770132795e-76	97.9082864038616	CA1_Posterior	CA1	Posterior
55	CDC37L1	0.317461111693694	2.90844046994158e-10	57.4416733708769	CA1_Posterior	CA1	Posterior
56	CDH12	-1.00221948912981	1.46311533209506e-141	66.4253150978815	CA1_Anterior	CA1	Anterior
57	CDH2	-0.378814535982133	5.42573950240687e-27	54.5990882274068	CA1_Anterior	CA1	Anterior
58	CDH20	-0.316025279779941	1.00871947300555e-21	38.2676320729418	CA1_Anterior	CA1	Anterior
59	CDH9	-0.484199777458478	2.85088660094295e-37	26.4950388844194	CA1_Anterior	CA1	Anterior
60	CDK6	-0.319185224369552	2.11314266335098e-21	44.5427728613569	CA1_Anterior	CA1	Anterior
61	CEP126	-0.300839390631043	1.10373802365433e-17	45.8836149101636	CA1_Anterior	CA1	Anterior
62	CHCHD6	0.345513654461713	6.45940040901504e-18	56.5835344596407	CA1_Posterior	CA1	Posterior
63	CHD9	-0.311136819154782	1.1840023820198e-18	56.3958165728077	CA1_Anterior	CA1	Anterior
64	CHL1	-0.342833418668543	3.92151441836276e-19	71.6009654062751	CA1_Anterior	CA1	Anterior
65	CHRM3	0.455091612211756	7.80683006924417e-47	86.9133816036471	CA1_Posterior	CA1	Posterior
66	CHST15	0.570475569655265	2.34257686024765e-42	54.3309198176455	CA1_Posterior	CA1	Posterior
67	CIT	-0.322665365131636	2.0523288737273e-26	27.4604451595602	CA1_Anterior	CA1	Anterior
68	CLMN	0.332224371307046	5.10154281815486e-18	43.4969160632877	CA1_Posterior	CA1	Posterior
69	CLMP	1.24887942757458	9.9179836184733e-123	80.3968892464468	CA1_Posterior	CA1	Posterior
70	CNTN3	0.410711235575949	2.60078730400009e-23	69.4824349691606	CA1_Posterior	CA1	Posterior
71	CNTN5	-1.27674522348851	2.49847022829286e-214	61.8128184499866	CA1_Anterior	CA1	Anterior
72	CNTNAP3B	0.482445874916926	1.34150755402315e-32	67.4979887369268	CA1_Posterior	CA1	Posterior
73	COBL	-0.313582968823717	2.10229532269626e-18	38.9916867792974	CA1_Anterior	CA1	Anterior
74	COL24A1	0.789261121890098	1.10195674732518e-68	76.6961651917404	CA1_Posterior	CA1	Posterior
75	COL25A1	0.325075024740503	1.12790520900672e-16	45.5886296594261	CA1_Posterior	CA1	Posterior
76	COL4A2	0.303707620143222	9.51093699875005e-18	60.2306248323947	CA1_Posterior	CA1	Posterior
77	COL5A2	1.15323635707871	1.18420074132504e-93	74.1753821399839	CA1_Posterior	CA1	Posterior
78	CPLX2	0.359910823089881	3.87220716304927e-18	54.0091177259319	CA1_Posterior	CA1	Posterior
79	CPNE4	0.353071097088907	2.17868227195279e-16	58.8897827835881	CA1_Posterior	CA1	Posterior
80	CPNE8	0.568136866644529	4.50837123670631e-40	59.3188522392062	CA1_Posterior	CA1	Posterior
81	CREB5	-0.344682968231353	1.6886463816564e-37	26.1196031107536	CA1_Anterior	CA1	Anterior
82	CRY2	0.503251425984417	3.3106278285337e-34	57.4953070528292	CA1_Posterior	CA1	Posterior
83	CSMD2	0.33205228732173	4.32240364576274e-17	55.9935639581657	CA1_Posterior	CA1	Posterior
84	CSRNP3	0.403307774293506	7.40545630943534e-39	86.7524805577903	CA1_Posterior	CA1	Posterior
85	CTDSPL	-0.403885642792223	1.89261231562993e-31	34.5400911772593	CA1_Anterior	CA1	Anterior
86	CTTNBP2	0.453191685187286	1.32035172329331e-29	72.0836685438455	CA1_Posterior	CA1	Posterior
87	CUX1	-0.429118864503148	1.17971419626611e-48	30.437114507911	CA1_Anterior	CA1	Anterior
88	CYFIP2	0.33626137796583	2.27115104821614e-19	64.0386162510056	CA1_Posterior	CA1	Posterior
89	DAAM1	0.382703959219062	1.11693373101149e-25	80.9600429069456	CA1_Posterior	CA1	Posterior
90	DDAH1	0.591676964432994	7.14316594617991e-47	76.5352641458836	CA1_Posterior	CA1	Posterior
91	DGKB	0.317487104927171	2.10902618511353e-21	74.4703673907214	CA1_Posterior	CA1	Posterior
92	DGKH	0.374832334731407	1.35578253862042e-15	71.0646285867525	CA1_Posterior	CA1	Posterior
93	DGKI	0.437275032909686	1.45934353157786e-66	92.3572003218021	CA1_Posterior	CA1	Posterior
94	DNAH9	0.32249128950063	7.45712016606704e-14	46.8222043443282	CA1_Posterior	CA1	Posterior
95	DOK5	-0.32476326556996	1.14505788907987e-26	26.6559399302762	CA1_Anterior	CA1	Anterior
96	DOK6	0.308085972805493	5.0520406967125e-30	90.2386698846876	CA1_Posterior	CA1	Posterior
97	DPP10	-0.511120479839494	1.4820943691615e-53	89.3268972914991	CA1_Anterior	CA1	Anterior
98	DPP6	0.424846246453845	1.22431566938695e-68	96.969696969697	CA1_Posterior	CA1	Posterior
99	DSCAML1	0.552298153050838	4.37497139424555e-66	83.5076427996782	CA1_Posterior	CA1	Posterior
100	DUSP5	0.530264135199033	3.41365889963823e-34	51.5687851971038	CA1_Posterior	CA1	Posterior
101	DYNC1H1	0.30364140392458	3.35513659579505e-14	72.6468222043443	CA1_Posterior	CA1	Posterior
102	EFNB2	0.52714397907737	5.121159296546e-39	54.2504692947171	CA1_Posterior	CA1	Posterior
103	EGR4	0.336342269754435	1.06826180517405e-17	43.7650844730491	CA1_Posterior	CA1	Posterior
104	ELL2	-0.354418013370943	1.71474427606878e-18	49.3698042370609	CA1_Anterior	CA1	Anterior
105	ELOVL5	0.581413381945333	2.31001738208664e-36	60.5792437650845	CA1_Posterior	CA1	Posterior
106	EPB41L3	-0.426503817204685	2.54354399707805e-57	27.6749798873693	CA1_Anterior	CA1	Anterior
107	EPB41L4A	0.769808200421573	2.80776380374423e-80	51.220166264414	CA1_Posterior	CA1	Posterior
108	EPHA4	0.435092382120333	2.45624643307454e-45	89.0855457227139	CA1_Posterior	CA1	Posterior
109	EPHA5	0.783246771237457	5.49752572239177e-82	80.1823545186377	CA1_Posterior	CA1	Posterior
110	EPHA7	0.334779557781768	3.38705991987316e-16	62.1346205417002	CA1_Posterior	CA1	Posterior
111	ERBB4	-0.314300169079804	4.84332133999647e-19	53.7141324751944	CA1_Anterior	CA1	Anterior
112	ESYT2	0.508890537823152	1.92404904867259e-55	82.4081523196568	CA1_Posterior	CA1	Posterior
113	ETV6	0.38676124071905	1.74949787070044e-21	47.5998927326361	CA1_Posterior	CA1	Posterior
114	EXT1	0.838447978194338	4.2144186434081e-100	88.8978278358809	CA1_Posterior	CA1	Posterior
115	FAM126A	0.302099551108922	3.44924900617661e-10	65.1649235720032	CA1_Posterior	CA1	Posterior
116	FAM19A1	0.429811927404876	6.23848604680909e-62	95.5215875569858	CA1_Posterior	CA1	Posterior
117	FAM19A2	-0.551634467174587	1.14852330174392e-60	35.076427996782	CA1_Anterior	CA1	Anterior
118	FAM19A5	0.476047007664385	2.03490278244963e-37	68.6242960579244	CA1_Posterior	CA1	Posterior
119	FARP1	0.622430448980014	1.2203706932611e-66	75.596674711719	CA1_Posterior	CA1	Posterior
120	FBXO33	0.462223115306125	3.00941273089379e-26	63.7436310002682	CA1_Posterior	CA1	Posterior
121	FHOD3	-0.369231068778948	3.75348457131079e-20	55.8594797532851	CA1_Anterior	CA1	Anterior
122	FNDC1	0.511260699604119	1.64050714711533e-62	45.3472780906409	CA1_Posterior	CA1	Posterior
123	FOSL2	0.594351718964314	7.25728894701426e-48	56.8248860284258	CA1_Posterior	CA1	Posterior
124	FRMD5	-0.701392422497068	1.47916467809694e-71	56.0203807991419	CA1_Anterior	CA1	Anterior
125	FUT8	-0.300759050994182	1.24752443617688e-16	62.9927594529364	CA1_Anterior	CA1	Anterior
126	FUT9	-0.518472428980184	1.16237931561571e-70	33.6283185840708	CA1_Anterior	CA1	Anterior
127	GABRG2	0.384380167594201	1.76648802370329e-25	81.0673102708501	CA1_Posterior	CA1	Posterior
128	GALNT18	0.461935560721294	1.70351193714766e-56	86.6720300348619	CA1_Posterior	CA1	Posterior
129	GAREM1	0.811645863907154	2.16728262808795e-81	78.7342451059265	CA1_Posterior	CA1	Posterior
130	GFOD1	0.362199989073119	3.32894394309362e-29	76.1330115312416	CA1_Posterior	CA1	Posterior
131	GMCL1	0.607998892878583	2.77374845678125e-45	63.3950120675784	CA1_Posterior	CA1	Posterior
132	GNA14	0.507234266044037	3.94879414953623e-37	51.1933494234379	CA1_Posterior	CA1	Posterior
133	GNAL	0.474071359748495	6.13711352633715e-22	51.5419683561276	CA1_Posterior	CA1	Posterior
134	GNG4	0.423397619468918	3.19429739489161e-41	25.4759989273264	CA1_Posterior	CA1	Posterior
135	GPC5	-0.499959863142679	8.35842792226357e-22	54.0091177259319	CA1_Anterior	CA1	Anterior
136	GPR161	0.373533274005315	5.70441756101725e-25	35.6395816572808	CA1_Posterior	CA1	Posterior
137	GRAMD1B	0.402520060661948	1.2081528953779e-26	74.2558326629123	CA1_Posterior	CA1	Posterior
138	GREB1L	-0.337212356234764	2.54093811141251e-26	46.4735854116385	CA1_Anterior	CA1	Anterior
139	GRIA1	0.702346570538162	7.48995188005326e-192	98.5518905872888	CA1_Posterior	CA1	Posterior
140	GRIA4	-0.534468947199141	2.24028404478543e-86	37.0072405470636	CA1_Anterior	CA1	Anterior
141	GRIK1	0.482298643576006	4.58208546508735e-30	51.4883346741754	CA1_Posterior	CA1	Posterior
142	GRIK2	-0.326605527910169	1.11629606329686e-28	91.525878251542	CA1_Anterior	CA1	Anterior
143	GRIN2B	0.470832533939475	1.25285388286125e-82	94.3148297130598	CA1_Posterior	CA1	Posterior
144	GRM1	-0.358045953670066	3.60798674428985e-25	58.5679806918745	CA1_Anterior	CA1	Anterior
145	HDAC4	0.480416727615959	7.31485962706641e-42	64.1727004558863	CA1_Posterior	CA1	Posterior
146	HDAC9	-0.356681546105648	1.42162022562565e-27	41.2979351032448	CA1_Anterior	CA1	Anterior
147	HECA	0.33283988393108	2.73711286729115e-30	35.8004827031376	CA1_Posterior	CA1	Posterior
148	HECW1	-0.542784289488096	3.4483830087113e-53	48.9675516224189	CA1_Anterior	CA1	Anterior
149	HOMER1	0.670589502891517	3.26225250727892e-86	89.4609814963797	CA1_Posterior	CA1	Posterior
150	HS3ST2	0.660256417082056	3.83552690605444e-34	63.2341110217216	CA1_Posterior	CA1	Posterior
151	HSPH1	0.368889148981278	1.02966799546993e-21	61.5982837221775	CA1_Posterior	CA1	Posterior
152	HTR4	0.600891924285094	3.10023258480431e-42	63.3681952266023	CA1_Posterior	CA1	Posterior
153	HUNK	0.724456730300364	1.12202717954947e-57	62.8050415661035	CA1_Posterior	CA1	Posterior
154	ICA1	-0.302664480941635	1.66502651979753e-23	34.4864574953071	CA1_Anterior	CA1	Anterior
155	IGSF21	0.347083164619296	5.97689426281601e-16	51.1665325824618	CA1_Posterior	CA1	Posterior
156	INPP4B	-0.484288165204011	1.4099882244636e-58	51.9442209707696	CA1_Anterior	CA1	Anterior
157	IQSEC1	-0.318689719901971	4.62460545498785e-20	40.7615982837222	CA1_Anterior	CA1	Anterior
158	IRS2	0.406108884370094	1.28561859846955e-21	55.2158755698579	CA1_Posterior	CA1	Posterior
159	ITGA8	1.11401248796407	1.18690984383139e-123	66.9616519174041	CA1_Posterior	CA1	Posterior
160	ITGA9	0.824007683375316	5.18021674708553e-84	72.8345400911773	CA1_Posterior	CA1	Posterior
161	ITPR1	0.821263801395252	1.08880183723157e-96	77.7956556717619	CA1_Posterior	CA1	Posterior
162	KALRN	0.349609319063085	3.74172244833146e-63	96.6478948779834	CA1_Posterior	CA1	Posterior
163	KCNB2	-0.548895272428838	6.48151737548746e-96	65.111289890051	CA1_Anterior	CA1	Anterior
164	KCND2	0.5009215787169	1.58625525125903e-79	89.8632341110217	CA1_Posterior	CA1	Posterior
165	KCNH7	-0.333002487205276	2.51493653574081e-55	55.8594797532851	CA1_Anterior	CA1	Anterior
166	KCNN2	0.503572452126776	1.15213550136691e-37	77.6347546259051	CA1_Posterior	CA1	Posterior
167	KCTD1	0.304727274981648	8.13815509658944e-15	63.5559131134352	CA1_Posterior	CA1	Posterior
168	KHDRBS2	-0.556563281683079	4.52427238070978e-72	87.1279163314562	CA1_Anterior	CA1	Anterior
169	KIAA0368	0.639056231023414	4.57494977079311e-63	80.1019039957093	CA1_Posterior	CA1	Posterior
170	KIAA1211L	0.331165828908494	1.25970327599623e-25	83.668543845535	CA1_Posterior	CA1	Posterior
171	KIAA1217	0.735918108509086	3.18825532006595e-121	89.4073478144275	CA1_Posterior	CA1	Posterior
172	KIF5C	0.351683480503714	1.6950688218657e-25	80.450522928399	CA1_Posterior	CA1	Posterior
173	KSR2	0.492784189996288	3.9898166363353e-83	93.2153392330383	CA1_Posterior	CA1	Posterior
174	LARGE	0.495495758423758	1.20080241004267e-100	96.5406275140788	CA1_Posterior	CA1	Posterior
175	LHFP	-0.465230491993312	7.20999367965693e-53	35.5323142933762	CA1_Anterior	CA1	Anterior
176	LINGO2	-0.93956607060691	5.65769828326384e-125	36.0150174309466	CA1_Anterior	CA1	Anterior
177	LMCD1	0.440851814885589	6.52443401770634e-46	36.9804237060874	CA1_Posterior	CA1	Posterior
178	LMO4	0.513743504540014	2.33383803010521e-40	72.1373022257978	CA1_Posterior	CA1	Posterior
179	LPP	0.643538289087261	2.47565693372623e-48	65.9426119603111	CA1_Posterior	CA1	Posterior
180	LRCH1	0.320056713333982	9.41950339784919e-18	65.8889782783588	CA1_Posterior	CA1	Posterior
181	LRP12	0.473459395881815	9.96834586698955e-30	65.2185572539555	CA1_Posterior	CA1	Posterior
182	LRRC4C	-0.694592007583165	2.86293742629327e-112	89.8096004290695	CA1_Anterior	CA1	Anterior
183	LRRC8B	0.369998765224261	2.69640878075568e-25	70.769643336015	CA1_Posterior	CA1	Posterior
184	LRRN1	0.500302788639688	1.90802675217354e-32	52.3464735854116	CA1_Posterior	CA1	Posterior
185	LRRTM3	0.427428404607437	1.6271533395096e-23	55.7790292303567	CA1_Posterior	CA1	Posterior
186	LUZP2	0.746110915293856	1.66631493292065e-58	75.7307589165996	CA1_Posterior	CA1	Posterior
187	MAGI1	-0.398059488647521	1.06003996257524e-38	76.6425315097881	CA1_Anterior	CA1	Anterior
188	MAPK10	0.353985102969291	8.28764372371664e-53	96.6747117189595	CA1_Posterior	CA1	Posterior
189	MARCH1	0.532334001897496	1.88538911392626e-59	88.9782783588093	CA1_Posterior	CA1	Posterior
190	MBNL2	0.314148644463484	1.61185089437123e-28	88.1469562885492	CA1_Posterior	CA1	Posterior
191	MCTP1	0.466482999069417	8.28336813532638e-56	90.3727540895682	CA1_Posterior	CA1	Posterior
192	MEF2A	-0.348610260049151	1.40170863115301e-28	39.2330383480826	CA1_Anterior	CA1	Anterior
193	MEF2C	-0.47452449060491	2.56433846925674e-54	33.065164923572	CA1_Anterior	CA1	Anterior
194	MEIS2	-0.423532809973917	4.02532452305356e-32	34.0842048806651	CA1_Anterior	CA1	Anterior
195	MGAT4C	0.437205674530894	2.52987795545428e-21	62.8318584070796	CA1_Posterior	CA1	Posterior
196	MICAL2	0.525783117632321	7.45846106240754e-72	84.8216680075087	CA1_Posterior	CA1	Posterior
197	MMP16	-0.347913366645679	6.34390174048819e-27	47.0367390721373	CA1_Anterior	CA1	Anterior
198	MOB1B	0.714432880147327	3.0114678183824e-53	74.2290158219362	CA1_Posterior	CA1	Posterior
199	MSI2	0.358236454303302	2.83583348728039e-19	55.5913113435237	CA1_Posterior	CA1	Posterior
200	MTMR7	-0.342159242450307	8.31988969466107e-30	34.7009922231161	CA1_Anterior	CA1	Anterior
201	MYH10	0.387052968726508	7.15392802659511e-33	76.7497988736927	CA1_Posterior	CA1	Posterior
202	MYO16	0.376449023381488	1.39808061664273e-19	76.1866452131939	CA1_Posterior	CA1	Posterior
203	MYO1D	-0.484742118209335	1.68309873546151e-36	48.4312148028962	CA1_Anterior	CA1	Anterior
204	MYO1E	0.605784759277954	1.04701263669993e-29	57.9511933494234	CA1_Posterior	CA1	Posterior
205	MYRIP	-0.37375429342703	2.09080149498017e-45	45.4545454545455	CA1_Anterior	CA1	Anterior
206	NAMPT	0.362762998573018	1.84755333850336e-27	49.2625368731563	CA1_Posterior	CA1	Posterior
207	NCAM1	-0.435530371139037	7.33840582687009e-47	84.9557522123894	CA1_Anterior	CA1	Anterior
208	NCK2	0.522690567655966	3.00238548057672e-54	49.3161705551086	CA1_Posterior	CA1	Posterior
209	NCOA2	0.30102234806587	1.3002571817076e-19	73.4513274336283	CA1_Posterior	CA1	Posterior
210	NDFIP2	0.30657699638718	4.14665729403225e-14	61.1155805846071	CA1_Posterior	CA1	Posterior
211	NDST3	0.443118674390617	2.38904645635764e-25	76.4548136229552	CA1_Posterior	CA1	Posterior
212	NECAB1	-0.854991552988891	3.00543180777464e-106	51.5687851971038	CA1_Anterior	CA1	Anterior
213	NECTIN1	0.435758579184951	1.33864955411044e-32	37.0608742290158	CA1_Posterior	CA1	Posterior
214	NEDD4L	0.74224060807261	7.28941517567999e-122	88.9782783588093	CA1_Posterior	CA1	Posterior
215	NEFM	0.593873626442682	4.31927305912295e-42	59.7747385358005	CA1_Posterior	CA1	Posterior
216	NEK10	0.577933551610759	4.32787134307123e-77	79.5923840171628	CA1_Posterior	CA1	Posterior
217	NELL1	0.489513686935639	9.48360339795646e-33	78.4660766961652	CA1_Posterior	CA1	Posterior
218	NELL2	0.36775206288491	7.38390368118411e-57	95.2534191472245	CA1_Posterior	CA1	Posterior
219	NETO2	0.741839126933349	3.6854695860971e-51	58.8897827835881	CA1_Posterior	CA1	Posterior
220	NFIB	0.622119132750808	1.47084981379799e-39	79.0024135156878	CA1_Posterior	CA1	Posterior
221	NFIX	0.448234257997399	9.47919655062991e-30	64.8431214802896	CA1_Posterior	CA1	Posterior
222	NKAIN3	-0.501053910402899	3.05099005638593e-41	49.5307052829177	CA1_Anterior	CA1	Anterior
223	NOL4	-0.317281797238271	4.61039611654988e-31	37.1413247519442	CA1_Anterior	CA1	Anterior
224	NOS1AP	0.505401841551276	7.40545630943534e-39	75.194422097077	CA1_Posterior	CA1	Posterior
225	NPAS2	0.30707125064285	4.31043843189634e-14	56.663984982569	CA1_Posterior	CA1	Posterior
226	NPAS4	0.456208628881698	9.39613053003767e-24	63.2609278626978	CA1_Posterior	CA1	Posterior
227	NPTXR	-0.32021754869105	6.83639534340103e-22	33.7087691069992	CA1_Anterior	CA1	Anterior
228	NR3C2	0.576123748245835	2.50499033212575e-59	80.9600429069456	CA1_Posterior	CA1	Posterior
229	NR4A1	0.378883187715804	2.53921190303007e-18	50.4424778761062	CA1_Posterior	CA1	Posterior
230	NR4A2	0.5667183366858	1.27952932598487e-45	49.5307052829177	CA1_Posterior	CA1	Posterior
231	NR4A3	0.838908745180014	7.35473817324586e-68	68.7315634218289	CA1_Posterior	CA1	Posterior
232	NREP	0.415586154662861	3.83008482222125e-28	50.2279431482971	CA1_Posterior	CA1	Posterior
233	NRG1	-0.948098219955914	4.07092665447533e-131	73.7731295253419	CA1_Anterior	CA1	Anterior
234	NRIP1	0.353050577675097	5.55874805817843e-19	56.6908018235452	CA1_Posterior	CA1	Posterior
235	NRXN1	-0.35276444766932	1.06979023888763e-62	98.6323411102172	CA1_Anterior	CA1	Anterior
236	NRXN3	-1.22187920731723	2.44858770394611e-136	77.5811209439528	CA1_Anterior	CA1	Anterior
237	NT5DC3	0.323048148942351	5.97689426281601e-16	39.2062215071065	CA1_Posterior	CA1	Posterior
238	NTN1	0.436084987047423	7.07651795828797e-42	28.425851434701	CA1_Posterior	CA1	Posterior
239	NTRK2	0.599083763613572	7.0416234484256e-91	91.7135961383749	CA1_Posterior	CA1	Posterior
240	NUP93	0.623454664559191	7.16430598707602e-48	62.9927594529364	CA1_Posterior	CA1	Posterior
241	NYAP2	0.307102933262004	1.29505887761206e-15	56.44945025476	CA1_Posterior	CA1	Posterior
242	OLFM3	-0.439560588152328	2.2998068280395e-35	51.5151515151515	CA1_Anterior	CA1	Anterior
243	OSBPL8	0.503220442890654	1.06418534808681e-30	75.194422097077	CA1_Posterior	CA1	Posterior
244	PAK7	-0.358027715349446	2.33736320818083e-36	31.0002681684098	CA1_Anterior	CA1	Anterior
245	PARD3	-0.431346204961195	2.66929020283752e-41	31.4025207830518	CA1_Anterior	CA1	Anterior
246	PATJ	-0.373952193956691	8.20158763137852e-27	40.8420488066506	CA1_Anterior	CA1	Anterior
247	PCDH15	0.321714695015447	2.96204165611054e-14	89.0855457227139	CA1_Posterior	CA1	Posterior
248	PCDH9	-0.421372129094142	1.00273890819193e-50	99.0345937248592	CA1_Anterior	CA1	Anterior
249	PCSK2	-0.332253290853149	8.4326557958606e-23	79.4851166532582	CA1_Anterior	CA1	Anterior
250	PDE1A	0.334719565524634	2.36554643985962e-20	85.4384553499598	CA1_Posterior	CA1	Posterior
251	PDE1C	0.304439417074453	5.42774771331312e-13	56.4226334137838	CA1_Posterior	CA1	Posterior
252	PDE4B	0.34781885482799	2.21085448967351e-26	91.2040761598284	CA1_Posterior	CA1	Posterior
253	PDE4D	0.344366486065701	3.94699621400101e-46	96.3529096272459	CA1_Posterior	CA1	Posterior
254	PDE7A	0.383310752964784	2.60233590021353e-21	54.6527219093591	CA1_Posterior	CA1	Posterior
255	PDZRN4	-0.350684282514105	9.6619477295697e-29	33.5478680611424	CA1_Anterior	CA1	Anterior
256	PELI1	0.576506603438411	7.24579834081683e-41	61.3837489943685	CA1_Posterior	CA1	Posterior
257	PEX5L	0.486889775203744	3.47625619388165e-61	94.7707160096541	CA1_Posterior	CA1	Posterior
258	PGAP1	0.444821144229175	2.74709322335094e-29	61.0619469026549	CA1_Posterior	CA1	Posterior
259	PIP5K1B	0.327138815387875	2.60403702576066e-21	36.9804237060874	CA1_Posterior	CA1	Posterior
260	PKP2	0.557577557132317	5.03230512241047e-39	53.016894609815	CA1_Posterior	CA1	Posterior
261	PLCB1	0.391055393945389	1.62686178793987e-59	96.7283454009118	CA1_Posterior	CA1	Posterior
262	PLXDC2	0.677375192791994	5.49752572239177e-82	88.0933226065969	CA1_Posterior	CA1	Posterior
